/Users/qasim/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
PolyTrader Paper Trading System
Capital: $10,000.00 | Max positions: 10
Costs: 1.4% round-trip
Dashboard: http://localhost:3000
============================================================
Fetching market list...
Found 200 markets
[2026-03-30 05:30:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:32:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:34:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:36:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:38:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:40:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:42:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:44:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:46:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:48:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:50:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:52:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:54:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:56:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 05:58:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
[2026-03-30 06:00:16] Open: 0/10 | Capital: $10,000.00 | Equity: $10,000.00 | Today P&L: $+0.00 | Trades today: 0
